Group,Sex,Age_Group,MetS_Status,Food,Risk_Score,Direct_Effect,Network_Centrality,Indirect_Effect,Degree_Centrality,Betweenness_Centrality,Current_Intake,N_Connections,Food_Category
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Salty Food Consumption,0.4758939681128672,0.032334487520012875,1.0,0.543200577016207,1.0,0.030873015873015868,1.687574434299325,11,Unhealthy
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Sweet Food Consumption,0.42116334228263186,0.023663438003016853,0.9090909090909092,0.4632356478471745,0.9090909090909092,0.018578643578643573,2.2941643509329097,10,Healthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Grain Products,0.48947687179373267,0.0267366595840201,1.0,0.5959406932004155,1.0,0.04071428571428571,2.0417727967396844,11,Healthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Protein Foods,0.48236143793346176,0.03130364533470853,0.6363636363636364,0.9297696296349581,0.6363636363636364,0.00883116883116883,3.1349974528782476,7,Healthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Vegetables,0.614444130741105,0.03611032685276273,1.0,1.0,1.0,0.04071428571428571,2.597045338767193,11,Healthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Dairy Products,0.3894253259096054,0.0314657432022211,0.7272727272727273,0.5288573681563292,0.7272727272727273,0.01564935064935065,1.7773815588385125,8,Healthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Fruits,0.3954132704395128,0.04805812360920933,0.7272727272727273,0.5266940093800364,0.7272727272727273,0.010822510822510822,1.5792154865002548,8,Healthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Fried Foods,0.4974465373538715,0.028732948622506787,0.8181818181818182,0.8016627081677445,0.8181818181818182,0.02099567099567099,1.6225165562913908,9,Unhealthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),High Fat Meat,0.4829474731102994,0.04888939510381761,0.8181818181818182,0.7264572320474231,0.8181818181818182,0.017164502164502164,1.837493632195619,9,Unhealthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Processed Foods,0.5764967448495661,0.025078581263190132,0.9090909090909092,0.979126798723391,0.9090909090909092,0.026904761904761904,1.7600611309220582,10,Unhealthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Sugar-Sweetened Beverages,0.44388331579820056,0.027129565045222476,0.8181818181818182,0.6252564810852204,0.8181818181818182,0.01807359307359307,1.9215486500254713,9,Unhealthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Additional Salt Use,0.45408124839615505,0.04878140614584384,0.6363636363636364,0.8121986500957553,0.6363636363636364,0.005627705627705627,1.6602139582272033,7,Unhealthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Salty Food Consumption,0.5726137479039446,0.05942317511889054,0.9090909090909092,0.9203906837637187,0.9090909090909092,0.025995670995670992,1.8028527763627102,10,Unhealthy
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Sweet Food Consumption,0.32851148606739566,0.023855190596168353,0.6363636363636364,0.42686772973279147,0.6363636363636364,0.00487012987012987,2.149770759042282,7,Healthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Grain Products,0.40119075122507264,0.041312076458511045,0.875,0.4072197354722274,0.6363636363636364,0.03454545454545454,2.2805100182149363,7,Healthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Protein Foods,0.5770996935020128,0.036499233755032064,0.875,1.0,0.6363636363636364,0.03787878787878788,3.0081967213114753,7,Healthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Vegetables,0.5037979865053954,0.03443854432047458,0.875,0.7584085625906853,0.6363636363636364,0.02727272727272727,2.898907103825137,7,Healthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Dairy Products,0.35547244712872295,0.04308422951025064,0.7499999999999999,0.3774625177487424,0.5454545454545454,0.02666666666666667,1.9326047358834244,6,Healthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Fruits,0.4843125664832384,0.041753838556471704,1.0,0.5587034368688325,0.7272727272727273,0.04121212121212121,2.366120218579235,8,Healthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Fried Foods,0.3982086123172289,0.020311095683404765,0.7499999999999999,0.5502805801462237,0.5454545454545454,0.020606060606060603,1.1939890710382515,6,Unhealthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),High Fat Meat,0.49806089699543127,0.030892249593086556,1.0,0.6190133238606554,0.7272727272727273,0.04,1.3743169398907105,8,Unhealthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Processed Foods,0.4955851527885403,0.03621346719319973,1.0,0.6036658863708682,0.7272727272727273,0.03939393939393939,1.1958105646630237,8,Unhealthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Sugar-Sweetened Beverages,0.5044860047588835,0.013745940058218803,1.0,0.6632920957853201,0.7272727272727273,0.04393939393939394,1.2322404371584699,8,Unhealthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Additional Salt Use,0.4346507057683444,0.05941088483008007,0.875,0.494621172787708,0.6363636363636364,0.03848484848484848,1.4007285974499089,7,Unhealthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Salty Food Consumption,0.5606342170190071,0.02769282190278145,0.875,0.956856960859648,0.6363636363636364,0.0303030303030303,1.6420765027322404,7,Unhealthy
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Sweet Food Consumption,0.45598323489529596,0.04155922223877936,0.875,0.5895318199992807,0.6363636363636364,0.03787878787878788,1.849726775956284,7,Healthy
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Grain Products,0.34769376383381767,0.027657594405942426,0.7,0.42210242023813566,0.6363636363636364,0.008708513708513707,2.23625843780135,7,Healthy
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Protein Foods,0.5676727948720369,0.031284613694306254,1.0,0.8505298313143814,0.9090909090909092,0.03271284271284271,2.9710703953712634,10,Healthy
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Vegetables,0.49720318248957207,0.019559679783791258,0.9,0.7312643685868517,0.8181818181818182,0.02072150072150072,2.953712632594021,9,Healthy
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Dairy Products,0.37777281175821,0.038365523709932334,0.7,0.5080886742474569,0.6363636363636364,0.006111111111111111,2.137897782063645,7,Healthy
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Fruits,0.4833610366602777,0.03099305166532864,1.0,0.5698793866471541,0.9090909090909092,0.026024531024531023,2.595949855351977,10,Healthy
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Fried Foods,0.4674495105573804,0.02783231025477692,0.7999999999999999,0.7210552881848988,0.7272727272727273,0.015093795093795093,1.2005785920925747,8,Unhealthy
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),High Fat Meat,0.4628911289379658,0.035453887200371355,0.9,0.5956985801927241,0.8181818181818182,0.017972582972582973,1.218900675024108,9,Unhealthy
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Processed Foods,0.5011480304980128,0.03943559927102309,0.9,0.7179126359653453,0.8181818181818182,0.013578643578643579,1.1436837029893925,9,Unhealthy
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Sugar-Sweetened Beverages,0.3966160288447624,0.0370374316138033,0.7999999999999999,0.4726701873308037,0.7272727272727273,0.00896103896103896,1.0916104146576664,8,Unhealthy
