Group,Sex,Age_Group,MetS_Status,Food,Direct_Effect,Degree_Centrality,Betweenness_Centrality,Indirect_Effect,Current_Intake
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Protein Foods,0.02989886456611975,0.9090909090909092,0.013780663780663779,0.8433096051826535,3.010977411864049
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Vegetables,0.02423648062303965,0.9090909090909092,0.010981240981240982,0.9321318952991604,2.7808739708676375
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Dairy Products,0.02559073848152519,0.7272727272727273,0.0038383838383838375,0.4137978668428796,1.8005066497783406
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Fruits,0.04077711336664988,0.9090909090909092,0.011305916305916305,0.5122218911308963,2.0048553937090987
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Fried Foods,0.02394387832811204,0.8181818181818182,0.008708513708513707,0.9213174023476797,1.3681655055942579
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),High Fat Meat,0.04595550351957063,0.8181818181818182,0.0061111111111111106,0.6756654661765835,1.5408486383787208
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Processed Foods,0.03536458579016384,1.0,0.0155988455988456,1.0,1.424741397508972
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Sugar-Sweetened Beverages,0.05032854824468893,0.9090909090909092,0.013780663780663779,0.7778640093945604,1.4340299767785518
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Additional Salt Use,0.039501369774249916,0.9090909090909092,0.008131313131313132,0.7509761029672676,1.445429596791218
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Salty Food Consumption,0.05351935389095169,1.0,0.0155988455988456,0.6894889574667264,1.7156428119062699
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Sweet Food Consumption,0.051198167132940675,1.0,0.0155988455988456,0.6621098258681293,2.004222081486173
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Grain Products,0.0060606324258167385,0.5454545454545454,0.030606060606060605,0.2668423660655366,2.0918992511912866
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Protein Foods,0.024238775765999396,0.5454545454545454,0.020303030303030302,0.4306436226780288,3.017018379850238
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Vegetables,0.016809476197406727,0.8181818181818182,0.05666666666666668,0.7021989201567647,2.730088495575221
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Dairy Products,0.026327969317103038,0.6363636363636364,0.027575757575757576,0.4172462519411578,1.7402995234853642
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Fruits,0.046176165812760815,0.5454545454545454,0.02333333333333333,0.39544788462289066,1.9108236895847515
